order imbalance,macd signal,spread,mid price,delta price,delta volume,ADX,obv,return,ATR%
-0.9794108826329033,-14.820936010710527,0.010000000009313226,114056.315,79.73000000001048,-7.021059999999999,11.471267429913153,33.120079999999994,0.0006995296139322704,0.0006191761187505408
-0.3974993894475297,-4.708282756870641,0.00999999999476131,114217.745,161.41999999999825,1.6445800000000004,12.113568989524765,37.074889999999996,0.0014152657213559738,0.0007369458341229913
-0.5168046600422984,-0.5537502296686561,0.00999999999476131,114178.945,-38.79000000000815,-2.74595,12.156473860137718,35.866029999999995,-0.000339614494210827,0.0006993506020250801
0.25189360747699613,9.931948665467282,0.00999999999476131,114312.005,133.0500000000029,1.30816,13.351210994787023,38.38305,0.0011652760863538614,0.000764578826453565
-0.9377030922893654,12.764739999064258,0.00999999999476131,114260.005,-51.99000000000524,-0.35817999999999994,13.759546128801722,36.22421,-0.0004548078941843947,0.0007354196389785678
-0.736929055950993,13.80945447635027,0.00999999999476131,114260.005,-0.00999999999476131,-0.8379000000000001,14.166287506550411,34.90327,-8.75196842775594e-08,0.0006841756273385967
0.015386140690939494,14.790450646933072,0.00999999999476131,114278.66500000001,18.660000000003492,-0.72333,14.527028218901847,35.50088,0.00016331174514272462,0.0006344742614298075
-0.7758663368193337,6.335661726311297,0.00999999999476131,114144.005,-134.38999999999942,0.37435000000000007,13.328467825180326,34.52892,-0.0011759850876795763,0.0006868544516652029
0.4358065142044747,-2.2292344437055043,0.00999999999476131,114097.785,-46.49000000000524,1.0915,12.756372720895893,32.46546,-0.0004072915793320586,0.000677910397659811
-0.677443441244121,-1.1435795829105029,0.00999999999476131,114202.525,104.75,5.2106,12.117759290992034,39.73952,0.0009180722008790276,0.0007013410451907284
0.8093795400255229,-5.804252432771635,0.010000000009313226,114116.815,-85.72000000000116,-4.0697600000000005,11.229153408271102,36.535219999999995,-0.0007505963309218933,0.0007065623679050929
0.5656793581305588,0.09564102499144234,0.010000000009313226,114256.185,139.36999999999534,0.48724999999999996,11.291585652023706,40.226769999999995,0.0012212924633978606,0.0007546709534812139
-0.5022977755520337,4.606834755751111,0.00999999999476131,114271.255,15.070000000006985,-1.5383,11.482600337473835,42.380019999999995,0.00013189658537515747,0.0006974926871401799
0.9894920734089218,10.109724113932812,0.00999999999476131,114320.17499999999,48.929999999993015,8.06765,12.001456686527272,52.600919999999995,0.00042819169301111515,0.0006742732657406984
0.8761998704434368,16.856565130714237,0.010000000009313226,114384.015,63.830000000001746,-7.64834,12.98318660382004,55.17348,0.0005583441173728776,0.0006711718089603649
-0.6171549415237134,21.2978303999274,0.010000000009313226,114404.545,20.54000000000815,1.4293699999999996,13.94849181311953,59.17541,0.00017957055361161878,0.0006242405465637533
-0.66728542948164,23.688036195425955,0.00999999999476131,114419.82500000001,15.270000000004075,-2.1590599999999998,15.080709304171998,61.01828,0.000133473712365495,0.000596026947748095
-0.6486234566233484,22.069252597405303,0.010000000009313226,114394.405,-25.420000000012806,-0.46310000000000007,15.815609037491184,59.63851,-0.0002221643068482937,0.0005605455151539503
0.8042914328257552,18.676232158936216,0.00999999999476131,114380.215,-14.189999999987776,16.19545,16.225862182965145,42.063289999999995,-0.00012404453364844858,0.0005257245152960073
-0.8789012453236303,5.570044628876076,0.00999999999476131,114226.88500000001,-153.33000000000175,-3.3147600000000015,15.118040341148255,27.802829999999993,-0.0013405291002700492,0.00060413481225652
-0.9992436688463184,-14.534672695406606,0.00999999999476131,114048.465,-178.4100000000035,-5.110340000000001,15.465239739483605,18.652709999999992,-0.0015618915617759965,0.0007287462366055433
-0.9177517886743829,-24.07982407590285,0.010000000009313226,114090.435,41.95999999999185,-7.741169999999999,15.345607628806324,20.061659999999993,0.0003679137475496308,0.0007091682293302969
0.6546750503322896,-33.16871672141816,0.00999999999476131,114025.775,-64.64999999999418,0.7955100000000002,15.633267439531979,17.85719999999999,-0.000566655765956825,0.0006959983528478382
-0.17759588948333557,-33.48712208342058,0.00999999999476131,114086.975,61.19000000000233,-0.46221,15.43048580042454,19.59944999999999,0.0005366330315828005,0.0006804638961301707
0.3459525982990717,-34.608274344134145,0.00999999999476131,114046.86499999999,-40.11000000000058,2.75439,15.627138569359381,15.102809999999991,-0.00035157389139184314,0.000666981148080721
-0.44645620262576685,-32.851331288308415,0.010000000009313226,114058.125,11.259999999994761,-2.24088,15.597688920839213,17.35856999999999,9.873134604498901e-05,0.0006233559683841603
0.5483503921744582,-25.673977784400925,0.00999999999476131,114126.85500000001,68.73000000001048,2.80322,15.085768527240596,22.41754999999999,0.0006025875229225264,0.0006210121569818266
0.9237535412434529,-17.033157404337018,0.00999999999476131,114169.995,43.14999999999418,-1.4001899999999998,14.208718900441774,26.07633999999999,0.0003780880660422259,0.0006026556323580853
-0.9677899689650626,-8.737340940177452,0.010000000009313226,114199.735,29.729999999995925,-1.6927300000000003,13.207713958415294,28.04239999999999,0.0002604011561706532,0.0005699866187992128
0.28991511298387684,-13.974681250135056,0.00999999999476131,114025.785,-173.9499999999971,2.8121400000000003,13.487892058453884,23.264199999999988,-0.0015232085049587951,0.000661777680968358
-0.9786447154458355,-15.137263448347252,0.00999999999476131,114045.07500000001,19.39999999999418,21.017110000000002,13.341437995857522,49.05950999999999,0.00017013696376366738,0.000645197351118785
0.4088875806809384,-12.443927940767924,0.010000000009313226,114083.595,38.420000000012806,-24.46937,13.188275112690942,50.38544999999999,0.00033688403139886525,0.0006156267829796416
