order imbalance,macd signal,spread,mid price,delta price,delta volume,ADX,obv,RSI,open interest,return,ATR%
-0.15930554821025264,-22.559544981604574,0.010000000009313226,115444.565,-62.85000000000582,-1.06678,45.392418947200824,-44.09496,25.101078688828892,88353.921,-0.0005441209356179533,0.0006727736772386897
0.5468896169706716,-5.571821856068425,0.00999999999476131,115708.945,264.38000000000466,3.3531199999999997,42.38638443407696,-38.7242,43.84478934177163,88351.378,0.002290103578722169,0.0008249241842833642
0.8349821049036409,5.1460265711581314,0.00999999999476131,115690.995,-17.94000000000233,-5.02229,39.86951490363333,-39.07267,43.057370083964734,88379.3,-0.0001550441996962526,0.0007703076692931443
0.40336751633094486,17.729889610287415,0.00999999999476131,115778.14499999999,87.14999999999418,2.0277800000000004,36.740861365296894,-36.69642,47.94790016424257,88381.157,0.0007532997380954587,0.0007681092498252079
-0.952030245946163,20.792282476451476,0.00999999999476131,115697.275,-80.86999999999534,0.05085999999999968,34.508392643781235,-39.12353,44.15796163495549,88351.731,-0.0006984910365210872,0.0007620194334528446
-0.8375785979076062,19.303373876666242,0.00999999999476131,115642.32500000001,-54.94999999999709,-1.8168199999999999,32.96230711137378,-39.73382,41.74352069875776,88335.115,-0.00047494634273159697,0.0007350364736457954
-0.1116414780564735,16.440609123338376,0.00999999999476131,115611.055,-31.270000000004075,7.42373,31.82228330499258,-47.76784,40.39011643299732,88314.487,-0.00027040271499201296,0.0007037081212934687
-0.9615145470213242,5.146165417198901,0.00999999999476131,115453.67499999999,-157.38999999999942,-5.4802800000000005,31.816193702299095,-50.32158,34.35291107877849,88292.29,-0.0013613749411172105,0.0007673877589799738
-0.904463824694555,-5.318348166884121,0.00999999999476131,115387.005,-66.66999999999825,0.2203599999999999,32.17089941325925,-53.095679999999994,32.160029000383915,88283.867,-0.0005774610716142714,0.0007497324443411145
-0.9975018162711953,-16.989651922635232,0.00999999999476131,115280.005,-103.5,4.02933,32.989627075667165,-59.89910999999999,29.058863551292063,88346.407,-0.0008969814623831507,0.0007644418505140952
-0.8186791533261355,-23.758936785120184,0.010000000009313226,115261.685,-21.80999999999767,-3.6512299999999995,33.8257524679804,-63.051309999999994,28.43658344049615,88386.868,-0.00018918578981375056,0.00072343993890321
-0.8999958379830865,-29.529646618183847,0.00999999999476131,115200.005,-61.69000000000233,0.3008099999999998,34.86169299942227,-66.50431999999999,26.695238200430268,88394.406,-0.0005352168617344111,0.0007077766573487667
-0.9925872478461698,-47.27058808170244,0.00999999999476131,114927.965,-270.74000000000524,5.44334,36.7173263678829,-75.40066999999999,20.70327801718642,88388.069,-0.002350173611111117,0.0008662312085774664
-0.9668051074293111,-68.26733598476301,0.010000000009313226,114710.565,-218.68999999998778,81.75153,38.92463093897626,-166.04854999999998,17.32126087581969,88335.166,-0.0019028226580418695,0.0009668021434598637
0.5468798889901642,-70.96411567118943,0.00999999999476131,114798.89499999999,88.31999999999243,-76.38005,40.933134615413266,-151.78071999999997,22.80575332403312,88338.075,0.0007699377659791118,0.0009656332267409434
0.698547230839204,-69.51241168021596,0.00999999999476131,114765.13500000001,-33.75999999999476,9.0929,42.89978985320031,-175.14144999999996,22.199554733065852,88763.521,-0.00029407949850379644,0.0009445123888541461
-0.6534152201031371,-60.31744938309461,0.010000000009313226,114812.455,47.31999999999243,-22.495,44.2597919041923,-174.27571999999995,25.20075313491415,88631.099,0.0004123203624655236,0.0008982038407920559
-0.6114983491431266,-39.49991917177795,0.00999999999476131,114961.715,160.9499999999971,48.45097,43.64931104238604,-124.95901999999995,34.46138857989558,88528.305,0.0014018514542630811,0.000987282063525827
0.08197814371722481,-34.005536831911655,0.00999999999476131,114789.58499999999,-183.81999999999243,-43.443599999999996,43.494944200311984,-130.83211999999995,29.907247576038614,88419.161,-0.0015988045930622752,0.0010471965671154087
0.5738046143175631,-26.96100035111141,0.00999999999476131,114786.88500000001,-2.6900000000023283,-4.35124,43.41978569744588,-132.35397999999995,29.845090467795472,88386.956,-2.3434182789050517e-05,0.0009640962558304184
-0.2920301199196539,-18.98181536791256,0.010000000009313226,114788.515,1.6300000000046566,-0.74718,43.19578377444419,-131.57929999999996,29.940108017499313,88381.533,1.4200227917982033e-05,0.000887415191859709
-0.2644883967040837,-9.37338523103054,0.010000000009313226,114812.685,24.169999999998254,-0.28230000000000005,42.894050005850644,-131.08691999999996,31.42329565572777,88348.863,0.00021056112579898034,0.0008255336224604617
0.737348912264212,13.057241152701124,0.010000000009313226,115031.795,219.11000000000058,0.33891,40.94265330998681,-130.25562999999997,43.16906945179016,88212.937,0.0019084127373028004,0.0009268960664717523
-0.15348125353950984,32.43917251882681,0.010000000009313226,115094.095,62.30000000000291,1.71754,38.735583174039945,-127.70679999999997,46.00111569678612,88287.111,0.000541589369200457,0.0008897183285528338
-0.6258273521937052,47.23214134492761,0.00999999999476131,115131.17499999999,37.079999999987194,9.494639999999999,36.46051562574045,-115.66332999999997,47.672520895481156,88268.608,0.0003221711625529533,0.0008353970766578469
0.8118848173116144,53.853309462581166,0.010000000009313226,115098.375,-32.79999999998836,-8.628319999999999,34.598919263357615,-119.07847999999997,46.3071097641051,88228.616,-0.0002848924157642374,0.0008051268724071795
-0.6315539892721099,53.46652296175154,0.00999999999476131,115043.195,-55.19000000000233,0.7249500000000002,33.03898773859159,-123.21857999999997,44.02235382418748,88230.794,-0.000479502839223267,0.0007744864281642452
