order imbalance,macd signal,log spread,mid price,delta price,delta volume,log ADX,obv,RSI,open interest,return,ATR%
-0.15930554821025264,-22.559544981604574,-4.605170185056769,115444.565,-0.0005442690231358682,-0.42443512163165065,3.8153451075621665,-44.09496,25.08268275278948,88353.921,0.0005442690231358682,0.0006727736772386897
0.5468896169706716,-5.571821856068425,-4.605170186511961,115708.945,0.002287485288197999,0.9790409139413501,3.7468271888294464,-38.7242,43.861826612886674,88351.378,-0.002287485288197999,0.0008249241842833642
0.8349821049036409,5.1460265711581314,-4.605170186511961,115690.995,-0.00015505622029010624,-2.7351725612093385,3.685611994367486,-39.07267,43.073654866402066,88379.3,0.00015505622029010624,0.0007703076692931443
0.40336751633094486,17.729889610287415,-4.605170186511961,115778.14499999999,0.000753016150255803,1.9197267505212063,3.6038895244031948,-36.69642,47.96398275446664,88381.157,-0.000753016150255803,0.0007681092498252079
-0.952030245946163,20.792282476451476,-4.605170186511961,115697.275,-0.0006987350950407034,0.0211776343414678,3.54120255949031,-39.12353,44.172013374575855,88351.731,0.0006987350950407034,0.0007620194334528446
-0.8375785979076062,19.303373876666242,-4.605170186511961,115642.32500000001,-0.00047505916547052607,-1.3805222741121368,3.4953646999026713,-39.73382,41.75500607107331,88335.115,0.00047505916547052607,0.0007350364736457954
-0.1116414780564735,16.440609123338376,-4.605170186511961,115611.055,-0.0002704392803973832,2.577506050304124,3.460166777248894,-47.76784,40.39976558717802,88314.487,0.0002704392803973832,0.0007037081212934687
-0.9615145470213242,5.146165417198901,-4.605170186511961,115453.67499999999,-0.001362302453872033,-1.1461260740220125,3.459975396090876,-50.32158,34.35136833854574,88292.29,0.001362302453872033,0.0007673877589799738
-0.904463824694555,-5.318348166884121,-4.605170186511961,115387.005,-0.0005776278664750834,0.08276741893762085,3.4710622989968636,-53.095679999999994,32.153275814803564,88283.867,0.0005776278664750834,0.0007497324443411145
-0.9975018162711953,-16.989651922635232,-4.605170186511961,115280.005,-0.0008973839909796055,0.8971005265043503,3.496193181013735,-59.89910999999999,29.04390964472084,88346.407,0.0008973839909796055,0.0007644418505140952
-0.8186791533261355,-23.758936785120184,-4.605170185056769,115261.685,-0.0001892036877020331,-0.7693262750146121,3.521222419721622,-63.051309999999994,28.419880528482437,88386.868,0.0001892036877020331,0.00072343993890321
-0.8999958379830865,-29.529646618183847,-4.605170186511961,115200.005,-0.0005353601414057607,0.09114569267679351,3.5513886045873644,-66.50431999999999,26.67353010689004,88394.406,0.0005353601414057607,0.0007077766573487667
-0.9925872478461698,-47.27058808170244,-4.605170186511961,114927.965,-0.002352939603669668,0.9463947658233729,3.603248751769251,-75.40066999999999,20.663652106987527,88388.069,0.002352939603669668,0.0008662312085774664
-0.9668051074293111,-68.26733598476301,-4.605170185056769,114710.565,-0.0019046353248981518,2.3213414700159603,3.6616272363386013,-166.04854999999998,17.271332624561424,88335.166,0.0019046353248981518,0.0009668021434598637
0.5468798889901642,-70.96411567118943,-4.605170186511961,114798.89499999999,0.0007696415159514913,-1.8489751976240871,3.711939872360834,-151.78071999999997,22.787513976103938,88338.075,-0.0007696415159514913,0.0009656332267409434
0.698547230839204,-69.51241168021596,-4.605170186511961,114765.13500000001,-0.0002941227483592712,0.49304905482041184,3.7588669273951743,-175.14144999999996,22.178892632941682,88763.521,0.0002941227483592712,0.0009445123888541461
-0.6534152201031371,-60.31744938309461,-4.605170185056769,114812.455,0.0004122353817841429,-3.295238604795406,3.790076632944257,-174.27571999999995,25.19456872698902,88631.099,-0.0004122353817841429,0.0008982038407920559
-0.6114983491431266,-39.49991917177795,-4.605170186511961,114961.715,0.001400869777848257,4.042444963405553,3.7761874984814607,-124.95901999999995,34.485549753148746,88528.305,-0.001400869777848257,0.000987282063525827
0.08197814371722481,-34.005536831911655,-4.605170186511961,114789.58499999999,-0.0016000840450374199,-2.1278801626134327,3.772644706059773,-130.83211999999995,29.915194262625832,88419.161,0.0016000840450374199,0.0010471965671154087
0.5738046143175631,-26.96100035111141,-4.605170186511961,114786.88500000001,-2.3434457373738837e-05,-1.350449332491059,3.770915228865554,-132.35397999999995,29.85279282641011,88386.956,2.3434457373738837e-05,0.0009640962558304184
-0.2920301199196539,-18.98181536791256,-4.605170185056769,114788.515,1.4200127095520543e-05,-0.6752385091000165,3.765742892673296,-131.57929999999996,29.94814802880113,88381.533,-1.4200127095520543e-05,0.000887415191859709
-0.2644883967040837,-9.37338523103054,-4.605170185056769,114812.685,0.00021053896091771662,-0.45319926475838157,3.7587331218126834,-131.08691999999996,31.43631977627261,88348.863,-0.00021053896091771662,0.0008255336224604617
0.737348912264212,13.057241152701124,-4.605170185056769,115031.795,0.0019065940312419372,0.5237279350119216,3.712172387854306,-130.25562999999997,43.20334378513721,88212.937,-0.0019065940312419372,0.0009268960664717523
-0.15348125353950984,32.43917251882681,-4.605170185056769,115094.095,0.0005414427626089235,1.1204109982182653,3.656758639451105,-127.70679999999997,46.0357632173064,88287.111,-0.0005414427626089235,0.0008897183285528338
-0.6258273521937052,47.23214134492761,-4.605170186511961,115131.17499999999,0.0003221192765678893,1.5528881739881766,3.596229911381467,-115.66332999999997,47.70658693144688,88268.608,-0.0003221192765678893,0.0008353970766578469
0.8118848173116144,53.853309462581166,-4.605170185056769,115098.375,-0.00028493300531806653,-1.260301188413947,3.543822446412776,-119.07847999999997,46.33983467803217,88228.616,0.00028493300531806653,0.0008051268724071795
